Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W)
Agfa ePhoto 1280,1997,1024,640,0,38
Agfa ePhoto 1680,1998,1280,640,1,38
Agfa ePhoto CL18,2000,640,0,0,45
Agfa ePhoto CL30,1999,1152,640,0,35
Agfa ePhoto CL30 Clik!,1999,1152,640,0,43
Agfa ePhoto CL45,2001,1600,640,1,51
Agfa ePhoto CL50,1999,1280,640,1,34
Canon PowerShot 350,1997,640,0,0,42
Canon PowerShot 600,1996,832,640,0,50
Canon PowerShot A10,2001,1280,1024,1,35
Canon PowerShot A100,2002,1280,1024,1,39
Canon PowerShot A20,2001,1600,1024,1,35
Canon PowerShot A200,2002,1600,1024,1,39
Canon PowerShot A30,2002,1280,1024,1,35
Canon PowerShot A300,2003,2048,1600,3,33
Canon PowerShot A310,2004,2048,1600,3,33
Canon PowerShot A40,2002,1600,1024,1,35
Canon PowerShot A400,2004,2048,1600,3,45
Canon PowerShot A410,2005,2048,1600,3,41
Canon PowerShot A420,2006,2272,1600,4,39
Canon PowerShot A430,2006,2272,1600,4,39
Canon PowerShot A450,2007,2592,2048,5,38
Canon PowerShot A460,2007,2592,2048,5,38
Canon PowerShot A5,1998,1024,512,0,35
Canon PowerShot A50,1999,1280,640,1,28
Canon PowerShot A510,2005,2048,1600,3,35
Canon PowerShot A520,2005,2272,1600,3,35
Canon PowerShot A530,2006,2592,2048,5,35
Canon PowerShot A540,2006,2816,2272,6,35
Canon PowerShot A550,2007,3072,2592,7,35
Canon PowerShot A560,2007,3072,2592,7,35
Canon PowerShot A570 IS,2007,3072,2592,7,35
Canon PowerShot A5 Zoom,1999,1024,512,0,28
Canon PowerShot A60,2003,1600,1024,1,35
Canon PowerShot A610,2005,2592,2592,5,35
Canon PowerShot A620,2005,3072,3072,7,35
Canon PowerShot A630,2006,3264,2592,8,35
Canon PowerShot A640,2006,3648,2816,10,35
Canon PowerShot A650 IS,2007,4000,3264,12,35
Canon PowerShot A70,2003,2048,1600,3,35
Canon PowerShot A700,2006,2816,2272,6,35
Canon PowerShot A710 IS,2006,3072,2592,7,35
Canon PowerShot A720 IS,2007,3264,2592,8,35
Canon PowerShot A75,2004,2048,1600,3,35
Canon PowerShot A80,2003,2272,1600,3,38
Canon PowerShot A85,2004,2272,1600,4,35
Canon PowerShot A95,2004,2592,2048,5,38
Canon EOS 10D,2003,3072,2048,6,0
Canon EOS-1D,2001,2464,1232,4,0
Canon EOS-1D Mark II,2004,3504,3104,8,0
Canon EOS-1D Mark III,2007,3888,3456,10,0
Canon EOS-1D Mark II N,2005,3504,3104,8,0
Canon EOS-1Ds,2002,4064,2032,11,0
Canon EOS-1Ds Mark II,2004,4992,3600,16,0
Canon EOS-1Ds Mark III,2007,5616,4992,21,0
Canon EOS 20D,2004,3504,2544,8,0
Canon EOS 20Da,2005,3504,2544,8,0
Canon EOS 300D / Digital Rebel,2003,3072,2048,6,0
Canon EOS 30D,2006,3504,2544,8,0
Canon EOS 350D / Digital Rebel XT,2005,3456,2496,8,0
Canon EOS 400D / Digital Rebel XTi,2006,3888,2816,10,0
Canon EOS 40D,2007,3888,2816,10,0
Canon EOS 5D,2005,4368,3168,12,0
Canon EOS D30,2000,2160,1440,3,0
Canon EOS D60,2002,3072,2048,6,0
Canon PowerShot G1,2000,2048,1024,3,34
Canon PowerShot G2,2001,2272,1600,3,34
Canon PowerShot G3,2002,2272,1600,3,35
Canon PowerShot G5,2003,2592,1600,5,35
Canon PowerShot G6,2004,3072,2592,7,35
Canon PowerShot G7,2006,3648,2816,10,35
Canon PowerShot G9,2007,4000,3264,12,35
Canon PowerShot Pro1,2004,3264,2272,8,28
Canon PowerShot Pro70,1998,1536,768,1,28
Canon PowerShot Pro90 IS,2001,1856,1024,2,37
Canon PowerShot S10,1999,1600,1280,1,35
Canon PowerShot S100,2000,1600,640,1,35
Canon PowerShot S110,2001,1600,1024,1,35
Canon PowerShot S1 IS,2004,2048,1600,3,38
Canon PowerShot S20,2000,2048,1024,3,32
Canon PowerShot S200,2002,1600,1024,1,35
Canon PowerShot S230,2002,2048,1600,3,35
Canon PowerShot S2 IS,2005,2592,2048,5,36
Canon PowerShot S30,2001,2048,1600,3,35
Canon PowerShot S300,2001,1600,1024,1,35
Canon PowerShot S330,2002,1600,1024,1,35
Canon PowerShot S3 IS,2006,2816,2272,6,36
Canon PowerShot S40,2001,2272,1600,3,35
Canon PowerShot S400,2003,2272,1600,3,36
Canon PowerShot S410,2004,2272,1600,3,36
Canon PowerShot S45,2002,2272,1600,3,35
Canon PowerShot S50,2003,2592,1600,5,35
Canon PowerShot S500,2004,2592,2048,5,36
Canon PowerShot S5 IS,2007,3264,2272,8,36
Canon PowerShot S60,2004,2592,1600,5,28
Canon PowerShot S70,2004,3072,2592,7,28
Canon PowerShot S80,2005,3264,2592,8,28
Canon PowerShot SD10,2003,2272,1600,3,38
Canon PowerShot SD100,2003,2048,1600,3,35
Canon PowerShot SD1000,2007,3072,2592,7,35
Canon PowerShot SD110,2004,2048,1600,3,35
Canon PowerShot SD20,2004,2592,2048,5,39
Canon PowerShot SD200,2004,2048,1600,3,35
Canon PowerShot SD30,2005,2592,2048,5,38
Canon PowerShot SD300,2004,2272,1600,3,35
Canon PowerShot SD40,2006,3072,2592,7,38
Canon PowerShot SD400,2005,2592,2048,5,35
Canon PowerShot SD430 Wireless,2005,2592,2048,5,35
Canon PowerShot SD450,2005,2592,2048,5,35
Canon PowerShot SD500,2005,3072,2592,7,37
Canon PowerShot SD550,2005,3072,2592,7,37
Canon PowerShot SD600,2006,2816,2272,6,35
Canon PowerShot SD630,2006,2816,2272,6,35
Canon PowerShot SD700 IS,2006,2816,2272,6,35
Canon PowerShot SD750,2007,3072,2592,7,35
Canon PowerShot SD800 IS,2006,3072,2592,7,28
Canon PowerShot SD850 IS,2007,3264,2272,8,35
Canon PowerShot SD870 IS,2007,3264,2592,8,28
Canon PowerShot SD900,2006,3648,2816,10,37
Canon PowerShot SD950 IS,2007,4000,3264,12,36
Canon PowerShot SX100 IS,2007,3264,2592,8,36
Canon PowerShot TX1,2007,3072,2592,7,39
Casio Exilim EX-P505,2005,2560,2048,4,38
Casio Exilim EX-P600,2004,2816,2048,5,33
Casio Exilim EX-P700,2004,3072,2304,7,33
Casio Exilim EX-S100,2004,2048,1600,3,36
Casio Exilim EX-S20,2003,1600,1280,1,35
Casio Exilim EX-S3,2003,2048,1600,3,35
Casio Exilim EX-S500,2005,2560,2304,4,38
Casio Exilim EX-S600,2005,2816,2304,6,38
Casio Exilim EX-S600d,2006,2816,2304,6,38
Casio Exilim EX-S880,2007,3264,2816,8,38
Casio Exilim EX-V7,2007,3072,2560,7,38
