Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W)
Agfa ePhoto 1280,1997,1024,640,0,38
Agfa ePhoto 1680,1998,1280,640,1,38
Agfa ePhoto CL18,2000,640,0,0,45
Agfa ePhoto CL30,1999,1152,640,0,35
Agfa ePhoto CL30 Clik!,1999,1152,640,0,43
Agfa ePhoto CL45,2001,1600,640,1,51
Agfa ePhoto CL50,1999,1280,640,1,34
Canon PowerShot 350,1997,640,0,0,42
Canon PowerShot A430,2006,2272,1600,4,39
Canon PowerShot A450,2007,2592,2048,5,38
Canon PowerShot S5 IS,2007,3264,2272,8,36
Canon PowerShot S60,2004,2592,1600,5,28
Canon PowerShot S70,2004,3072,2592,7,28
Canon PowerShot S80,2005,3264,2592,8,28
Canon PowerShot SD10,2003,2272,1600,3,38
Canon PowerShot SD100,2003,2048,1600,3,35
Canon PowerShot SD1000,2007,3072,2592,7,35
Canon PowerShot SD110,2004,2048,1600,3,35
Canon PowerShot SD20,2004,2592,2048,5,39
Canon PowerShot SD200,2004,2048,1600,3,35
Canon PowerShot SD30,2005,2592,2048,5,38
Canon PowerShot SD300,2004,2272,1600,3,35
Canon PowerShot SD40,2006,3072,2592,7,38
Canon PowerShot SX100 IS,2007,3264,2592,8,36
Canon PowerShot TX1,2007,3072,2592,7,39
Casio Exilim EX-P505,2005,2560,2048,4,38
Casio Exilim EX-Z700,2006,3072,2560,7,38
Casio Exilim EX-Z75,2007,3072,2560,7,38
Casio Exilim EX-Z750,2005,3072,2304,7,38
Casio Exilim EX-Z77,2007,3072,2560,7,38
Casio Exilim EX-S770,2006,3072,2560,7,38
Casio Exilim EX-Z850,2006,3264,2816,8,38
Casio GV-10,2001,1280,640,1,35
Casio GV-20,2002,1600,800,1,35
Casio QV-2000UX,1999,1600,800,1,36
Casio QV-2100,2001,1600,800,1,41
Casio QV-R61,2004,2816,2048,6,39
Casio QV-R62,2004,2816,2048,6,39
Contax N Digital,2000,3040,0,6,0
Contax TVS Digital,2002,2560,1600,4,35
Epson PhotoPC 800,1999,1600,640,1,38
Epson PhotoPC 850 Zoom,1999,1600,640,1,35
Epson PhotoPC L-500V,2004,2560,1600,4,34
Epson PhotoPC 3000 Zoom,2000,2048,640,3,34
Epson PhotoPC L-410,2004,2304,1600,4,34
Epson R-D1,2004,3008,2240,6,0
Fujifilm FinePix 40i,2000,2400,1280,2,36
Fujifilm FinePix 50i,2001,2400,1600,2,36
Fujifilm DS-260HD,1999,1280,640,1,35
Fujifilm DS-300,1997,1280,640,1,35
HP Photosmart 320,2002,1632,640,2,38
HP Photosmart 435,2003,2048,640,3,36
HP Photosmart 620,2002,1632,640,2,36
HP Photosmart R927,2006,3296,2592,8,35
HP Photosmart R937,2007,3298,0,8,39
JVC GC-QX3HD,2001,2032,1024,3,37
JVC GC-QX5HD,2001,2032,1024,3,37
Kodak P712,2006,3072,2592,7,36
Kodak P850,2005,2592,2048,5,36
Kodak P880,2005,3264,2560,8,24
Kodak V1003,2007,3648,2560,10,36
Kodak V530,2005,2569,2576,5,36
Kodak V550,2005,2569,2576,5,36
Kodak V570,2006,2569,2576,5,39
Kodak V610,2006,2832,2304,6,38
Kodak V705,2006,3072,2576,7,23
Kodak V803,2007,3264,2560,8,36
Kodak Z1275,2007,4000,2832,12,35
Kodak Z612,2006,2848,2304,6,35
Kodak Z650,2006,2848,2304,6,38
Kodak Z700,2005,2304,0,4,35
Kodak Z710,2006,3072,2592,7,38
Kodak Z712,2007,3072,2592,7,36
Kodak Z730,2005,2576,2304,5,33
Kodak Z740,2005,2576,2304,5,38
Kodak Z7590,2005,2576,2576,5,38
Kodak Z760,2005,2872,2856,6,39
Kodak Z885,2007,3264,2592,8,36
Kyocera Finecam 3300,2000,2048,1024,3,38
Kyocera Finecam L30,2003,2048,1024,3,38
Kyocera Finecam S5,2002,2560,1600,5,35
Kyocera Finecam S5R,2003,2560,1600,5,35
Kyocera Finecam SL300R,2003,2048,1600,3,35
Kyocera Finecam SL400R,2004,2272,1600,3,35
Leica C-LUX 1,2006,2816,2048,6,28
Leica Digilux,1998,1280,640,1,35
Leica Digilux 1,2002,2240,1600,3,33
Leica Digilux 2,2003,2560,2048,4,28
Leica Digilux 3,2006,3136,2560,7,0
Leica Digilux 4.3,2000,2400,1280,2,36
Leica Digilux Zoom,2000,1280,640,1,38
Leica D-LUX 2,2005,3840,3072,8,28
Leica D-LUX 3,2006,4224,3840,10,28
Leica M8,2006,3936,2952,10,0
Leica V-LUX 1,2006,3648,3264,10,35
Nikon Coolpix 4800,2004,2288,1600,4,36
Nikon Coolpix 5000,2001,2560,1600,4,28
Nikon Coolpix 5200,2004,2592,2048,5,38
Nikon Coolpix 5400,2003,2592,1600,5,28
Nikon Coolpix 5600,2005,2592,2048,5,34
Nikon Coolpix 5700,2002,2560,1600,4,35
Nikon Coolpix 5900,2005,2592,2048,5,38
Nikon Coolpix 600,1998,1024,512,0,36
Nikon Coolpix 700,1999,1600,640,1,35
Nikon Coolpix 7600,2005,3072,2592,7,38
Nikon Coolpix S1,2005,2592,2048,5,35
Nikon Coolpix S10,2006,2816,2048,6,38
Nikon Coolpix S2,2005,2592,2048,5,35
Nikon Coolpix S200,2007,3072,2592,7,38
Nikon Coolpix S3,2005,2816,2048,6,35
Nikon Coolpix S4,2005,2816,2048,6,38
Nikon Coolpix S5,2006,2816,2048,6,35
Nikon D80,2006,3872,2896,10,0
Olympus C-1,2001,1280,640,1,35
Olympus C-21,1999,1600,1024,1,38
Olympus C-2100 UZ,2000,1600,1280,1,38
Olympus C-700 UZ,2001,1600,1280,1,38
Olympus C-7070 Wide Zoom,2005,3072,2592,7,27
Olympus Stylus Verve ,2004,2272,2048,3,35
Olympus Stylus Verve  S,2005,2560,2048,4,35
Panasonic Lumix DMC-LS1,2005,2304,1600,4,35
Panasonic Lumix DMC-LS2,2006,2560,2048,5,35
Panasonic Lumix DMC-LS60,2007,2816,2048,6,35
Panasonic Lumix DMC-LS75,2007,3072,2560,7,35
Panasonic Lumix DMC-LX1,2005,3840,3072,8,28
Panasonic Lumix DMC-LX2,2006,4224,3840,10,28
Panasonic Lumix DMC-LZ1,2005,2304,1600,4,37
Panasonic Lumix DMC-LZ2,2005,2560,2048,5,37
Panasonic Lumix DMC-LZ3,2006,2560,2048,5,37
Panasonic Lumix DMC-LZ5,2006,2816,2048,6,37
Panasonic Lumix DMC-LZ6,2007,3072,2560,7,37
Panasonic Lumix DMC-TZ3,2007,3072,2560,7,28
Pentax EI-100,2001,1280,640,1,42
Pentax EI-200,2000,1600,800,1,34
Pentax EI-2000,2000,1600,800,1,34
Pentax *ist D,2003,3008,2400,6,0
Pentax *ist DL,2005,3008,2400,6,0
